,id,latitude,longitude,neighbourhood_cleansed,review_scores_location,host_location,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,instant_bookable,license,minimum_nights,maximum_nights,host_is_superhost,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_identity_verified,host_listings_count,host_about,host_verifications,price,availability_30,availability_60,availability_90,availability_365,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,calendar_updated,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,reviews_per_month,first_review,last_review,estimated_occupancy_l365d,estimated_revenue_l365d
0,3781,42.36413,-71.02991,East Boston,4.85,"Massachusetts, United States",Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Essentials"", ""Washer"", ""Patio or balcony"", ""Smoke alarm"", ""Dishes and silverware"", ""Oven"", ""Carbon monoxide alarm"", ""Bed linens"", ""Microwave"", ""Shampoo"", ""TV with standard cable"", ""Hair dryer"", ""Refrigerator"", ""Extra pillows and blankets"", ""Dishwasher"", ""Dryer"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Hangers"", ""Stove"", ""Coffee maker"", ""Free parking on premises"", ""Central air conditioning"", ""Free street parking""]",f,,29,1125,t,2008-12-03,within a day,75%,13%,f,3,"My wife and I and grown children frequently occupy the spaces that we rent and as such try to make the spaces pleasant and appealing to ourselves as well as guests.   We have been subletting for over 15 years and consider ourselves helpful and organized hosts who provide clean, attractive and comfortable apartments","['email', 'phone']",$125.00,0,0,0,262,29.0,1125.0,t,,26,1,0,4.96,5.0,4.96,5.0,4.96,4.88,0.21,2015-07-10,2024-08-09,58,7250.0
1,5506,42.32844,-71.09581,Roxbury,4.57,"Boston, MA",Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Essentials"", ""Private entrance"", ""Washer"", ""Air conditioning"", ""Smoke alarm"", ""Dishes and silverware"", ""Self check-in"", ""Long term stays allowed"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Bed linens"", ""Microwave"", ""Shampoo"", ""TV with standard cable"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Dryer"", ""Keypad"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""First aid kit"", ""Hangers"", ""Bathtub"", ""Free street parking""]",f,STR-490093,3,90,t,2009-02-19,within an hour,100%,100%,t,12,"Relaxed,  Easy going, Accommodating. ","['email', 'phone']",$142.00,4,11,22,103,3.0,1125.0,t,,137,13,1,4.82,4.89,4.91,4.95,4.89,4.77,0.69,2009-03-21,2025-06-12,78,11076.0
2,6695,42.32802,-71.09387,Roxbury,4.53,"Boston, MA",Entire condo,Entire home/apt,4,1.0,1 bath,0.0,2.0,"[""Essentials"", ""Washer"", ""Air conditioning"", ""Smoke alarm"", ""Dishes and silverware"", ""Self check-in"", ""Oven"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Microwave"", ""Shampoo"", ""TV with standard cable"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Dishwasher"", ""Dryer"", ""Cooking basics"", ""Kitchen"", ""Keypad"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Hangers"", ""Stove"", ""Coffee maker"", ""Free street parking""]",f,STR-491702,3,730,t,2009-02-19,within an hour,100%,100%,t,12,"Relaxed,  Easy going, Accommodating. ","['email', 'phone']",$171.00,2,5,12,93,3.0,730.0,t,,139,11,0,4.81,4.82,4.85,4.9,4.94,4.72,0.72,2009-08-06,2025-04-24,66,11286.0
3,8789,42.35867,-71.06307,Beacon Hill,4.97,"Boston, MA",Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Wine glasses"", ""Essentials"", ""Patio or balcony"", ""Paid parking garage off premises"", ""Clothing storage: closet and dresser"", ""Air conditioning"", ""Smoke alarm"", ""Dishes and silverware"", ""Electric stove"", ""Elevator"", ""Paid washer \u2013 In building"", ""Paid dryer \u2013 In building"", ""Dining table"", ""Long term stays allowed"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Bed linens"", ""Microwave"", ""TV with standard cable"", ""Hair dryer"", ""Refrigerator"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Hangers"", ""Single level home"", ""Bathtub""]",f,,91,365,t,2009-07-22,within a day,70%,38%,t,12,"I manage a number of furnished units around Boston and Brookline with my business partner Joseph Morrissey.  I am a Realtor with Unlimited Sotheby's  and do sales/rentals in the greater Boston market.  I also manage a sculpture school/studio with my husband, sculptor Morris Norvin.  Stonybrook Fine Arts, is located in the Boston neighborhood Jamaica Plain across the street from the famous Sam Adams Brewery.  We offer a variety of one day workshops on our calendar including welding, jewelry and metal casting.   Longer classes are available and meet one time each week including the options above as well as mold making, live figure modeling and foundry.  Custom workshops are available for small groups, birthday parties, bachelorette parties, make your own wedding bands, create an engagement ring and team building.  We are happy to arrange a tour of Sam Adams after a daytime workshop not occurring on Sunday.  Contact us for more details to set up your custom event!

","['email', 'phone']",$140.00,0,17,29,210,91.0,365.0,t,,29,0,0,4.69,4.69,4.55,4.93,4.97,4.59,0.22,2014-08-12,2024-05-15,0,0.0
4,10811,42.35173,-71.08685,Back Bay,5.0,,Entire rental unit,Entire home/apt,3,1.0,1 bath,0.0,1.0,"[""Essentials"", ""Air conditioning"", ""Smoke alarm"", ""Dishes and silverware"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Bed linens"", ""Microwave"", ""Shampoo"", ""TV with standard cable"", ""Hair dryer"", ""Pets allowed"", ""Fire extinguisher"", ""Ethernet connection"", ""Indoor fireplace"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Hangers"", ""Coffee maker""]",f,,91,1125,t,2009-09-16,within a few hours,93%,53%,t,21,,"['email', 'phone']",$152.00,29,59,89,217,91.0,1125.0,t,,9,0,0,4.33,4.44,4.67,4.56,4.0,4.67,0.08,2016-01-09,2019-07-22,0,0.0
5,10813,42.35061,-71.08787,Back Bay,5.0,,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Wine glasses"", ""Essentials"", ""Baking sheet"", ""Clothing storage: closet"", ""Smoke alarm"", ""Housekeeping available every day - available at extra cost"", ""Dishes and silverware"", ""Dining table"", ""Long term stays allowed"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Bed linens"", ""Microwave"", ""TV with standard cable"", ""Hair dryer"", ""Body soap"", ""Freezer"", ""Refrigerator"", ""Window AC unit"", ""Fire extinguisher"", ""Dishwasher"", ""Laundromat nearby"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Toaster"", ""Hangers"", ""Stove"", ""Bathtub""]",f,,32,1125,t,2009-09-16,within a few hours,93%,53%,t,21,,"['email', 'phone']",$202.00,19,49,63,233,32.0,1125.0,t,,5,0,0,5.0,5.0,4.8,5.0,5.0,4.8,0.07,2019-03-17,2023-11-19,0,0.0
6,10986,42.36377,-71.05206,North End,5.0,,Entire condo,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Wine glasses"", ""Essentials"", ""Baking sheet"", ""Smoke alarm"", ""Dishes and silverware"", ""Hot water kettle"", ""Self check-in"", ""Long term stays allowed"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Free dryer \u2013 In building"", ""Bed linens"", ""Microwave"", ""TV with standard cable"", ""Hair dryer"", ""GE gas stove"", ""Freezer"", ""Ge stainless steel oven"", ""Refrigerator"", ""Free washer \u2013 In building"", ""Pets allowed"", ""Lockbox"", ""Window AC unit"", ""Fire extinguisher"", ""Dishwasher"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Toaster"", ""Hangers"", ""Bathtub""]",f,,32,1125,t,2009-09-16,within a few hours,93%,53%,t,21,,"['email', 'phone']",$130.00,0,25,55,330,32.0,1125.0,t,,2,1,0,4.5,5.0,3.5,3.5,5.0,4.0,0.11,2024-01-05,2025-03-31,64,8320.0
7,18711,42.32212,-71.06096,Dorchester,4.24,"Boston, MA",Entire rental unit,Entire home/apt,6,1.0,1 bath,3.0,3.0,"[""Wine glasses"", ""Essentials"", ""Private entrance"", ""Washer"", ""Drying rack for clothing"", ""Baking sheet"", ""Air conditioning"", ""Smoke alarm"", ""Dedicated workspace"", ""Dishes and silverware"", ""Books and reading material"", ""Clothing storage"", ""Hot water kettle"", ""Self check-in"", ""Dining table"", ""Oven"", ""Room-darkening shades"", ""Long term stays allowed"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Bed linens"", ""Microwave"", ""Housekeeping - available at extra cost"", ""Shampoo"", ""TV with standard cable"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Body soap"", ""Freezer"", ""Refrigerator"", ""Pets allowed"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Dishwasher"", ""Laundromat nearby"", ""Dryer"", ""Cooking basics"", ""Kitchen"", ""Bread maker"", ""Hot water"", ""Smart lock"", ""Rice maker"", ""Heating"", ""Iron"", ""Wifi"", ""Toaster"", ""Hangers"", ""Single level home"", ""Stove"", ""Portable fans"", ""Bathtub"", ""Blender"", ""Free street parking""]",f,,30,360,f,2010-01-19,within a few hours,87%,96%,t,60,"Lance R. Swank, Principal

His units offer comfortable and luxurious appointments to compliment the style of the building, whether a newly constructed condo or a historic Brownstone. Visitors to Boston seeking a furnished apartment without the corporate, hotel-room-like feel of most furnished rentals will find themselves more at home in Lance’s spaces.

Lance is the President of LSBM Management, LLC and holds an MBA degree from of the F.W. Olin Graduate School of Business at Babson College. He lives and invests in the City of Boston.","['email', 'phone', 'work_email']",$161.00,0,0,0,264,30.0,1125.0,t,,52,0,0,4.31,4.5,4.71,4.56,4.46,4.48,0.28,2010-05-12,2023-08-19,0,0.0
8,29765,42.37754,-71.06642,Charlestown,4.81,"Boston, MA",Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Essentials"", ""Handmade own brand body soap"", ""Noble Isle conditioner"", ""Smoke alarm"", ""Dishes and silverware"", ""Noble Isle shampoo"", ""Clothing storage: walk-in closet"", ""Coffee"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Bed linens"", ""Microwave"", ""Host greets you"", ""TV with standard cable"", ""Hair dryer"", ""Mini fridge"", ""Extra pillows and blankets"", ""Window AC unit"", ""Fire extinguisher"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Shower gel"", ""Heating"", ""Iron"", ""Wifi"", ""Toaster"", ""First aid kit"", ""Hangers"", ""Stove"", ""Coffee maker""]",f,STR-454024,2,28,f,2010-05-19,,,100%,t,1,"Friendly art historian/designer. 

Born and raised in Asia, I love international design and traditional folk arts, which is why my spaces are eclectic, decorated in European, Pan-Asian, and Moroccan styles. One of the main reasons I like sharing my spaces is because, in this way, I am also sharing experiences and beauty I have encountered while traveling.","['email', 'phone']",$272.00,0,0,0,77,2.0,28.0,t,,103,2,0,4.97,4.96,4.97,5.0,4.97,4.94,0.56,2010-05-24,2024-10-27,12,3264.0
9,40601,42.31347,-71.11082,Jamaica Plain,4.93,"Boston, MA",Private room in home,Private room,2,1.5,1.5 baths,1.0,1.0,"[""Wine glasses"", ""Essentials"", ""Barbecue utensils"", ""Hammock"", ""Drying rack for clothing"", ""Indoor fireplace: gas"", ""Clothing storage: closet and dresser"", ""Baking sheet"", ""Record player"", ""Smoke alarm"", ""Dedicated workspace"", ""Dishes and silverware"", ""BBQ grill: charcoal"", ""Coffee maker: french press, pour-over coffee"", ""Private backyard \u2013 Fully fenced"", ""Books and reading material"", ""Hot water kettle"", ""Free dryer \u2013 In unit"", ""Dining table"", ""Oven"", ""Long term stays allowed"", ""55 inch HDTV with standard cable"", ""Fire pit"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Bed linens"", ""Microwave"", ""Host greets you"", ""Shampoo"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Body soap"", ""Freezer"", ""Free washer \u2013 In unit"", ""Garden view"", ""Refrigerator"", ""Fast wifi \u2013 103 Mbps"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Outdoor furniture"", ""Fire extinguisher"", ""Dishwasher"", ""Laundromat nearby"", ""Cooking basics"", ""Kitchen"", ""Stainless steel gas stove"", ""Hot water"", ""Heating"", ""Iron"", ""Outdoor dining area"", ""Toaster"", ""First aid kit"", ""Hangers"", ""Exterior security cameras on property"", ""Portable fans"", ""Bathtub"", ""Blender"", ""Central air conditioning"", ""Free street parking""]",f,STR-551851,14,120,t,2010-07-20,within a day,100%,88%,t,1,"Professional single male in commercial real estate.
Outside of work I like walking, working out and drawing.  Have hosted guests from all over the world since 2003.  I look forward to meeting many more.","['email', 'phone', 'work_email']",$90.00,0,11,34,235,14.0,120.0,t,,103,4,0,4.98,4.95,5.0,4.97,4.94,4.93,0.57,2010-08-27,2025-05-11,112,10080.0
